billing=# select pnfsid as id, date(datestamp) as dt, count(*) as ct from billinginfo where errorcode <> 0 and protocol = 'Xrootd-5.0' and errormessage like '%Giving up%' and datestamp > '2021-10-01 00:00:00' group by id, dt having count(*) > 1 order by id, dt;

                  id                  |     dt     |  ct   
--------------------------------------+------------+-------
 00000013B6A1F7DF41929F1014D9651ED0B0 | 2021-11-04 |     8
 0000001BCEB69F92486F9004CF01C6B2BC72 | 2021-11-04 |    16
 0000003057EB54294F04B5CD93C3BFDBEFDA | 2021-11-04 |     5
 0000003BFF4BB9A746D5A7BF137AF4FB434B | 2021-11-04 |     9
 00000067FA0887944E1B9437FA6E11A02303 | 2021-11-04 |     2
 000000B373D9D42E40D7ADDD57D871282224 | 2021-11-04 |    12
 000000B9D922D90244BE810466D50E41EC15 | 2021-11-04 |     2
 000000E9DFE98CCB414B9A8F6F1EDCB37DE4 | 2021-11-04 |     5
 000000EC80DC67274D2B813F5280553A490F | 2021-11-04 |    10
 000000F1CBFF6A9F4C498C54A75AA03AA652 | 2021-11-02 |   374
 000000F1CBFF6A9F4C498C54A75AA03AA652 | 2021-11-03 |  1192
 000000F6AE409B504896916CBB359D985C4D | 2021-11-05 |    12
 000001065BCDA717451A8860C400BFECFDA0 | 2021-11-04 |    34
 0000011F4ECB3BEB47018663E0819FEF9BEE | 2021-11-04 |    14
 0000013418793A67403BB47A39C765EB2B77 | 2021-11-04 |     9
 00000140172E65174D7384FCDAA0AF9DED68 | 2021-11-04 |     6
 00000154D82760674DDB8375BB8EEB4F919B | 2021-11-04 |    11
 0000015D0915538C44A1BBBF9F4E308A096A | 2021-11-02 |   256
 0000018BB00F664346C9A46D15B7E668EDD5 | 2021-10-21 |     3
 00000195252BFF4841F0A34C3CCBB6B222F8 | 2021-11-02 |   443
 00000195252BFF4841F0A34C3CCBB6B222F8 | 2021-11-03 |  1911
 000001BA20D87E17441F929BDD2802F3D46C | 2021-11-04 |    15
 00000201A638285F4E1383795AB99B389D64 | 2021-11-04 |     2
 00000203DC2932174A8ABC9F2C7E22B7FE9B | 2021-10-23 |    13
 00000216C421CC764B38A11EC9ECAA4DFC4D | 2021-11-04 |     6
 000002187CB9B5E9421FB4C74A4F1B1E03D8 | 2021-11-04 |     7
 00000245218A0DA3421C9E28F98933D2E80C | 2021-11-04 |    15
 00000257CFD58CE64263AA7B495D86EF5EBF | 2021-10-27 |    18
 00000257CFD58CE64263AA7B495D86EF5EBF | 2021-10-28 |    34
 000002707073C4054694979A809076CAEAB6 | 2021-11-01 |     6
 0000027F26A5E84649698CEB033719583800 | 2021-11-04 |     9
 0000028336D3FC0C44728BAAD800F4201BDB | 2021-11-04 |     9
 000002968A1D75D744599D9913040CBD472C | 2021-11-04 |    13
 000002C7E5261CAF40249AAF2D8C5DA0611A | 2021-11-04 |     7
 000002F4E749C8AE4879AC8341A2FD0CAD88 | 2021-10-21 |     6
 000002FCFDAE5F7F4BCBA84463AFE71BDCC0 | 2021-11-05 |     5
 0000036B1B3B1FA74009AF251D37BCF1AA0D | 2021-11-04 |     5
 00000380EDD5A70E415E822247475D4CFBD3 | 2021-11-04 |     7
 000003B460EF590648E1866F79B4773E2920 | 2021-11-04 |     7
 000003EB20FABDA74C0FAEF1441C1FE54DB1 | 2021-11-04 |    14
 00000411906A9BDB47DA8241DF03B6F5958C | 2021-11-04 |    11
 0000045657A97D3A414ABD34A547707BC492 | 2021-11-04 |    12
 00000484B125E43C4A02AA4CB3629AA70CF5 | 2021-11-04 |     8
 0000049645002BAF4844B9594B5241146F27 | 2021-10-21 |     3
 000004C556AE00DF46C18BC2F6DCE342906F | 2021-11-04 |     9
 000004C7ABCB4F96450A8C2E797E8EAB1742 | 2021-11-04 |     5
 000004D2755625E04D5699B33B58DE293C0A | 2021-10-22 |     2
 000004D39BD83AB945F49C24FF66BAE8F81C | 2021-11-05 |     5
 000004F2A7A5730941D793D4E38081802D11 | 2021-11-01 |     5
 00000504F8CEDE974CE991AAEFE3D78D24A3 | 2021-10-26 |     3
 0000050CFE768DD2472CA429BEB6B21B7E5A | 2021-11-04 |    12
 0000050EB3AA2CD545B2AD9301B79F9DA6BC | 2021-11-04 |     4
 00000529A04B96684E828CC5C9F5CACE8153 | 2021-11-04 |     5
 0000052DC2C6016E4D1B9DBD95638C37F52C | 2021-11-04 |    11
 0000053BD9682E8247D8BEA39BFA7E024F4B | 2021-11-04 |     8
 00000540D7FBD87E467FBB36653F2A523388 | 2021-11-04 |     3
 00000555506F6872499692ACD35DFACA5EF3 | 2021-11-03 |     2
 000005606A6685A441F79EEDA34A4EC823E9 | 2021-11-04 |     4
 0000056EEF9C6B5C4320B1C2288FBCF63447 | 2021-11-04 |    10
 0000059C1E410490456F8B11622440896323 | 2021-10-21 |     2
 000005AE7B0F394D4AC6B95AD1578939D9F0 | 2021-11-04 |     7
 000005F6D30E986640659566D463C191AB3C | 2021-11-01 |     3
 000005F9A71EF8854E3E8820BA3A8099A7E3 | 2021-11-04 |     6
 000006103B74F5714E18B7A5772F2310F1E9 | 2021-11-04 |     6
 00000638AD73C8B5493FB512EC8D22E946CA | 2021-11-04 |    11
 0000063E537F3C2F426A90F1828DC716FF2C | 2021-11-04 |    11
 000006455B896CAB4393B559EC4FA966BF18 | 2021-11-04 |     9
 0000064B65BA28724887BF35F4191EDE6213 | 2021-11-04 |     8
 000006654F4D8D304BB0B129FDDC73330453 | 2021-11-04 |    11
 0000068E4C1E083A4485A6E955C374A9798A | 2021-11-04 |     5
 0000069B71574BD9454FB0CC50D97DF04576 | 2021-11-04 |     5
 0000069F040AD08D40958052A5DD160A93C4 | 2021-11-04 |     3
 000006B61D8476DD48C88F55B82D48EF60A7 | 2021-11-04 |    12
 00000718749B76DD451E85BCF8C12071BAA5 | 2021-10-30 |     9
 0000073DF6AEDDA74212B0F4991CFF49A2FC | 2021-11-04 |    21
 0000075AF84C59114A5DAE9BF5675C67EEFF | 2021-11-05 |     6
 0000076E5602AEFF445BA37EC14E59A8D8EE | 2021-11-04 |    11
 0000077078F4819B46D4BBDD0FB28B1D27EE | 2021-11-04 |     4
 0000077D155BB5424009B6C6D9BFD9653976 | 2021-11-04 |     5
 00000791DA725C244C21B7E5318904670521 | 2021-11-04 |    11
 0000079EBDD5720345F4A21A4A0382B28CB0 | 2021-11-04 |     3
 000007A653D503C8460AAC60F3526E13229D | 2021-11-04 |     3
 000007D1893149CB465C9797EB162F3F52F1 | 2021-10-22 |     3
 000007E757731E9C4CB5B8CEC9DA4AD8E0FF | 2021-11-04 |     2
 000007E84C93950A4CC2A693891989A88DE2 | 2021-11-04 |    11
 000007F7B7CB07E4423EB03448C7C5CFA89E | 2021-11-04 |    16
 000007F944D8DDF74276A0E87763B2FCD489 | 2021-11-02 |    65
 000007FEC5018FEF468B98CB321424C4056B | 2021-11-04 |    13
 000007FFB1DC945B4B4F86FDB68197E6BEB8 | 2021-11-04 |     4
 000008333CFAE4184A6EAB3BBC26297DF804 | 2021-10-21 |     6
 0000084A11A3FD6E41A7AB34BD17B82BB2DF | 2021-11-04 |     5
 0000085DC729C39F4914AA52694FE995F525 | 2021-11-04 |    10
 0000085F0A9031BF430E8093178B61128B11 | 2021-11-05 |    12
 00000880D0AC6E854F28A19857DECDA1B916 | 2021-11-04 |    11
 000008D56358F5814720B6EA937B0F74A825 | 2021-11-04 |    13
 000008E954B534A44668874D828EE65D667D | 2021-11-04 |    12
 000008F5B670F3AC4FCABF701D58CA95B856 | 2021-11-04 |    14
 000008FF4D32F6B649E5ACFD0804B964D001 | 2021-11-04 |     8
 00000933D2DE4A824AB09F6A36B16E794BE9 | 2021-11-04 |     9
 0000093DA3CB83F041B19B9379882AB1BE6D | 2021-11-04 |    14
 0000098474B7E85740E7ACBB0BFE42ACF36A | 2021-11-04 |    13
 00000992132A36F04972A78132B6649BDD10 | 2021-11-04 |     4
 00000997DFDF52F74FAE8B2B078F837A4DDE | 2021-11-04 |     3
 0000099A9DAB779A47398AA157371F7FE6C3 | 2021-10-22 |   256
 000009A0DD0C0F1643698313576C98160BF5 | 2021-11-04 |    13
 000009A252A382784764A3D2B56C5433F8D7 | 2021-10-27 |    36
 000009A252A382784764A3D2B56C5433F8D7 | 2021-10-28 |   270
 000009D324EC4A9E46D4B2CAD0DE4B679597 | 2021-11-04 |     2
 000009D90AAC4F7D4E8EA5B25483E39D9A42 | 2021-10-22 |     2
 000009D97D1BCE0F48F5AD008CD1D4698112 | 2021-11-04 |    16
 000009FA08164B7C4E73986FD177A374F5BB | 2021-11-04 |    12
 000009FCB6ABD43B49B99560836FDC2421D8 | 2021-11-04 |     6
 00000A17CB69644044DCA89F5A8020975F3E | 2021-11-04 |     4
 00000A1868F0B571499A96214FDD1F1E3356 | 2021-11-04 |    14
 00000A3A92C620E24F26B73A6A716CFD5371 | 2021-10-21 |     3
 00000A4C26D4B1F049AC9EEBBF0F137036D4 | 2021-11-04 |    16
 00000A51B5C858684A19AA779A7164FC3BBD | 2021-11-04 |    11
 00000A64821CF68A407A92803F5988E899CF | 2021-10-22 |     3
 00000A64D5E126504B78B77980A9266109ED | 2021-11-04 |    11
 00000A7E8B747574413EADDF20FB5C499D20 | 2021-10-21 |     2
 00000A92429BEEB84FB4A721BECC22BEB54B | 2021-11-04 |     3
 00000AEA6A9CC80647038B64BE3E59971060 | 2021-11-04 |     2
 00000AF741D81A704378926B831A4C7E26E3 | 2021-11-04 |     3
 00000AFEB1F33DC74A7B85FED62A731C503F | 2021-11-04 |     8
 00000B0EFEDC5AA94F45A1D75BCE06269DBB | 2021-11-04 |    16
 00000B11ED03432F49D193FFC0CCB40A0DD1 | 2021-10-21 |     2
 00000B22D45FA0BE4AAFB5C38B2AD27E69D1 | 2021-11-04 |     3
 00000B240C8B3E1A42AE85AC5C83C1ED4AB4 | 2021-10-21 |     2
 00000B58AAA5AFB749A5A98E8D5C5CA82DC9 | 2021-10-22 |     2
 00000B69352196144BE1A38AE0C63D1FF739 | 2021-11-04 |    12
 00000BE37FAF11D549999F4EEFD81718A660 | 2021-11-04 |     8
 00000BE73E0B19904053BE3B8DDB9742856A | 2021-10-27 |   256
 00000BFBB80B306A4A89B4501B098CFA7E3F | 2021-11-04 |     7
 00000C03C753A7554DED9482BFF39CB51075 | 2021-11-04 |    14
 00000C2AA24305244F10983FBF7D55F14072 | 2021-11-04 |    10
 00000C3031A14F574E33B71083FE03E15487 | 2021-11-04 |    14
 00000C521A710F0447DF8C9C583A7980B4F6 | 2021-11-04 |     5
 00000C60FF3D920142AAB45314AAE7B3D1C4 | 2021-11-04 |    12
 00000C6FF0A112CB4466B94B43C2B9376D59 | 2021-10-21 |     4
 00000C84C83E6CD746A8995A4252071F3941 | 2021-11-04 |     4
 00000CB2EE46B7F14B52A37C2F274DD4D54F | 2021-10-21 |     2
 00000CC2FBE57EA14D97B6F5136CF85A33E6 | 2021-11-02 |  1413
 00000CC2FBE57EA14D97B6F5136CF85A33E6 | 2021-11-03 |  1450
 00000CF40A61C64346DF91D15AC67826ADC7 | 2021-11-04 |     9
 00000D0BE50E27324721B35853C93B3C5D44 | 2021-11-04 |    17
 00000D23846228AB4D3792BC9DC2C2618A9C | 2021-11-04 |     6
 00000D3BAA03CAB248EDB55BAD2485BFBA2C | 2021-11-04 |   232
 00000D5910F5B5144C82981B8705CE85A9C1 | 2021-11-04 |  4400
 00000D6363EB044F4B948A41C934A159C9D9 | 2021-11-04 |     6
 00000D6C2F4A535B4119B4EB2D939AC93BF9 | 2021-11-04 |    14
 00000D7400002D0746CFAD2B51E84402D37C | 2021-11-04 |     9
 00000D93C7327ADC4FCEA222178B5CC8BCB1 | 2021-11-04 |    15
 00000DA27C29DED546DF9E9595F6E41A784F | 2021-11-04 |    12
 00000DCF330D80B94B6491ED53492BDCFEE1 | 2021-11-04 |     9
 00000DDB37655E004939BC7853CA9623F1BE | 2021-11-04 |     2
 00000DE0066EDABE4BEFB240950D53E63E16 | 2021-11-04 |    13
 00000E105CC17D524AC5B26B6276B8BB0067 | 2021-11-05 |     5
 00000E23FE38ED174312934E692789FC5666 | 2021-11-04 |    12
 00000E2F132D557F428E8D0815B2D8DAF8E0 | 2021-11-04 |     5
 00000E7162BB9898434A913A50C68C33E43B | 2021-11-02 |   563
 00000E7162BB9898434A913A50C68C33E43B | 2021-11-03 |  2608
 00000E8C3B5D0A14430CAB5BE293B6EF10BD | 2021-11-05 |    11
 00000EDF6424537042CBB22400BB1DD61571 | 2021-11-04 |    13
 00000EF6EC13480E4AC48C714110470D197A | 2021-11-04 |    10
 00000F1E00DC6F3C400980BC9A3475A3C567 | 2021-11-04 |    10
 00000F2407AAFCE34C32965E918BEFF0F4A9 | 2021-11-01 |    11
 00000F60AD6B2FD14F04A7E588AEC44638F8 | 2021-11-04 |    12
 00000F62E07AF31E4729847D51A09A9DD7BF | 2021-11-04 |     3
 00000F7D28F84A3E42E3835DD02309F81314 | 2021-11-04 |     5
 00000F9F37A934F44FE5ADC320EC1D51D2B1 | 2021-10-21 |     2
 00000F9F3C1776544296BB6C06E0A41F3551 | 2021-10-26 |     3
 00000FA0284EC165401482902F47A8B8015D | 2021-11-04 |     8
 00000FBDDCEE4E00428D86654EFB99A940F3 | 2021-11-04 |     7
 00000FC7DF07B0354864B3375790260D1936 | 2021-11-04 |    11
 00001008F50206014AC988E896CD988B9A64 | 2021-11-05 |    18
 00001034E789AC45401080BB421E287A7840 | 2021-11-05 |    15
 00001047D6C280E94721BED6F812BBB49164 | 2021-11-04 |    12
 00001048121091BC4CB596CE7AA7A3DEBB5D | 2021-11-04 |    13
 0000104E491DFAC449C2918BE6468C76AF58 | 2021-11-04 |    13
 0000108D6A79DC1144458B44B84F993A876C | 2021-11-04 |     7
 000010BD77B28D3F4874A459088D867789DA | 2021-11-04 |     7
 000010C1AFF3EC5147AE95BD40F79FF124DC | 2021-11-04 |    15
 000010D5A0CEF6A840C38494BC2762C2F5DB | 2021-11-04 |    16
 000010DD55A9740A48628EFFD4BB970D3F79 | 2021-11-04 |    13
 0000110B701B272647F68427A44BA72850D6 | 2021-11-04 |     9
 00001112F5C582644D5994D40C47FD3BCD1F | 2021-11-04 |    11
 000011AD653FBDF84467A15BE9E21CA92A97 | 2021-11-04 |     2
 000012310CDC537940EEB5F69D06F0C73C98 | 2021-11-04 |    10
 00001238A4657CE849F1AD69519FC1F2D2AD | 2021-11-04 |    10
 000012463DD9F6094F77B77CFF5AB80F7B11 | 2021-11-01 |     2
 000012669009A0B04316989D346CC7C8EDA8 | 2021-11-04 |     9
 00001268C022320E4E3F89712A269BC322D6 | 2021-11-04 |    13
 000012752E902B414974A85FEB33C7DD5C2D | 2021-10-26 |     3
 0000127B4B4F1A63490C98A9D27129DB6EAC | 2021-11-04 |    10
 000012A211DD12624BD89B0F54B750E3EBFC | 2021-11-04 |     3
 000012A689CC28A2409EA323F4803A5E0B4A | 2021-11-04 |    10
 000012A7F5767B2E481FBA1C1515E5262144 | 2021-10-21 |     5
 000012AAD70B00EF41A59D831A982CC9EDEB | 2021-11-05 |    11
 000012B53CFCA34A4256B5BBD3BF3E1017E0 | 2021-11-05 | 42602
 000012CB03A8E36A401DBDA8912458FBD78B | 2021-11-04 |     7
 000012F3A04CD83E417AAD8406E485D7B775 | 2021-11-04 |    14
 000012FE0645B8084E0986247214E8F989B9 | 2021-11-05 |     2
 0000133837F1EC284D86841D050AAEFC75B5 | 2021-11-04 |    56
 0000136BE04C0E584B4C98FFD0A4AB4F8383 | 2021-11-04 |    11
 0000136D40C886A2466D877DCA68317C7572 | 2021-10-22 |     3
 00001370BFD3E2654E1BB9FFF7A6EB666B9A | 2021-11-05 |     3
 0000138441628C514650972450D4008458C0 | 2021-11-04 |    14
 0000138B8A4A95874925ABCE51D7DC827D80 | 2021-11-04 |    13
 000013BDCD79B2734135B40748618334F62F | 2021-11-05 |    10
 000013D8F716AA6B470A939A00589BCEB2C5 | 2021-11-04 |     4
 000013DBB4FC542645C3B00C771B8BB5F820 | 2021-10-21 |     5
 000013E9DB83FF3D434FA0F0EA299499AA4C | 2021-11-04 |    11
 000013F7140E91344ED1AA7228C37ED792C4 | 2021-10-21 |     2
 000013FC6A3F99FC4A398F49FB65189213AB | 2021-11-04 |     3
 00001412C68E10B3402CAAE72D99F8866512 | 2021-11-04 |     5
 00001445D83F65DA40D7943659870755D41D | 2021-11-04 |     5
 00001448C054E04748EDA628B3AD6075D09C | 2021-11-05 |     4
 00001461FEA36EB44C56AD1B1B54571832FD | 2021-10-23 |     2
 00001477FC66372143B89BC5B08D3980AC72 | 2021-11-04 |    10
 000014853314227C43DCA1DBD886D985EE7F | 2021-11-04 |     7
 00001489CC585EB2488AAD84E9C2D140840F | 2021-11-04 |    13
 0000148AE080C4A14BD092283A35CE27B4B4 | 2021-11-04 |    13
 000014B4CDC44A0D4A34ABBF91F55F53E785 | 2021-11-04 |    13
 0000155AFFAACCEC492F9C8CCAD53C7AC776 | 2021-11-04 |    10
 0000155F1DEDCD6D442B8C5839FAA485D8BC | 2021-11-04 |     3
 00001561079FFB9946738A94B9ED220C6FC9 | 2021-10-22 |     3
 0000158B4A6FFD9247C68CCF6947C42185D1 | 2021-11-04 |     8
 000015E7FD03B7DE42FDA9DF06FEC8AD76EF | 2021-11-04 |    12
 00001603EEE6F54849F2890A877E8C83B500 | 2021-11-04 |     7
 00001645823207814C5EA36B79A35BE2A0BA | 2021-11-04 |     2
 000016540D17E8DC4EE4878AFF111D7AC28F | 2021-11-04 |     6
 000016560FA4A9D04A958BB47F2DB86AB3F9 | 2021-11-04 |     5
